CREATE TABLE CARD_TRAN_201311
(
	CMF CHAR(4) PRIMARY KEY NOT NULL,
	PARTY_NM CHAR(10) NOT NULL,
	SEG CHAR(10) NOT NULL,
	PIF_AMT DECIMAL(15,0),
	INST_AMT DECIMAL(15,0),
	OVRS_AMT DECIMAL(15,0),
	CASH_AMT DECIMAL(15,0)
);

INSERT INTO CARD_TRAN_201311 VALUES ('2356', '±è¾Æ¸§', 'PB', 1234041, 0, 1301710, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('4570', 'ÀÌ¼±¿ì', 'MASS', 0, 0, 524560, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('4563', 'È«ÁöÀº', 'MASS', 213570, 0, 0, 3700000);
INSERT INTO CARD_TRAN_201311 VALUES ('3266', 'À±ÀÏ»ó', 'MASS', 89641, 0, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('8904', 'ÀÌµ¿°Ç', 'PB', 1278960, 500000, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('4678', 'ÃÖÇý¿¬', 'MASS', 4567780, 0, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('1746', 'ÀÓÇÏ¿µ', 'PB', 7836100, 3213400, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('3120', '±èÁöÃ¶', 'PB', 0, 0, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('8974', '°­¼º¹ü', 'MASS', 655456, 0, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('3255', '±èÁö¿¬', 'MASS', 213, 0, 0, 0);
INSERT INTO CARD_TRAN_201311 VALUES ('8977', '±èÁöÇö', 'PB', 1300, 0, 54000, 100000);

